"PostId","PostTypeId","ParentId"
9039463,1,9039463
41476891,1,41476891
5747123,1,5747123
30130982,1,30130982
1385491,1,1385491
16990957,1,16990957
31947032,1,31947032
11159943,1,11159943
35038166,2,35038164
19636524,2,10382422
3425314,2,3425291
3697563,2,3697555
1365948,2,1365934
643735,2,642046
34640921,2,34640799
1458907,2,1458891
17716037,2,17709906
3839373,2,3839352
3629211,2,3629183
1838755,2,840781
28157062,2,28156986
8240430,2,8240371
11473036,2,11458491
2458022,2,2457998
30100370,2,30086098
17568098,2,17567925
784071,2,784012
1466022,2,1465853
35054662,2,1744310
2069191,2,2069183
2802499,2,2802481
2630407,2,2630364
1390994,2,1390990
2608601,2,2608575
1077805,2,1077772
