"PostId","PostTypeId","ParentId"
14083650,1,14083650
13935321,1,13935321
14563598,1,14563598
27148398,1,27148398
14665931,1,14665931
14082851,1,14082851
14533512,1,14533512
41084898,1,41084898
15071791,1,15071791
14957583,1,14957583
28606038,1,28606038
19053482,1,19053482
14481603,1,14481603
14125610,1,14125610
24142147,1,24142147
14357689,1,14357689
31990091,1,31990091
29328671,1,29328671
13719263,1,13719263
24006691,1,24006691
13912336,1,13912336
14458398,1,14458398
22790018,1,22790018
15960375,1,15960375
14273342,1,14273342
14423267,1,14423267
14122705,1,14122705
14453884,1,14453884
21448820,1,21448820
14610830,1,14610830
21417394,2,21416833
42357914,2,42355155
13797569,2,5109336
14932041,2,14931955
